FileRoot,FileName,ch1,ch2,ch3,ch4,ch5,ch6,OutlierNum
Data\green\pre,11-53-33_dur=600secs.wav,1.9178e-06,2.8408e-06,6.7041e-07,8.2231e-07,1.1989e-06,4.8657e-07,easyTiger
Data\green\pre,12-01-35_dur=600secs.wav,3.6178e-06,9.8935e-06,1.1185e-06,2.5284e-06,1.4818e-06,6.3919e-07,easyTiger
Data\green\pre,12-01-39_dur=600secs.wav,7.051e-06,2.7931e-05,1.5715e-06,4.1965e-06,3.3506e-06,1.0808e-06,easyTiger
Data\green\pre,12-01-48_dur=600secs.wav,6.3043e-06,1.9415e-05,1.4346e-06,3.3498e-06,2.5184e-06,1.0166e-06,easyTiger
Data\green\pre,12-03-33_dur=600secs.wav,8.8931e-07,1.5727e-06,4.2336e-07,5.4855e-07,5.3275e-07,3.452e-07,easyTiger
Data\green\pre,12-03-42_dur=600secs.wav,1.194e-05,2.211e-05,2.0381e-06,7.8983e-06,5.6805e-06,1.6689e-06,easyTiger
Data\green\pre,12-11-35_dur=600secs.wav,1.0367e-05,1.7465e-05,3.6701e-06,9.4915e-06,7.9054e-06,2.477e-06,easyTiger
Data\green\pre,12-12-37_dur=600secs.wav,4.2514e-06,9.4708e-06,9.4874e-07,1.9589e-06,1.4992e-06,7.6552e-07,easyTiger
Data\green\pre,12-13-45_dur=600secs.wav,1.6589e-05,3.5398e-05,2.9068e-06,9.4196e-06,5.056e-06,2.3297e-06,easyTiger
Data\green\pre,12-14-35_dur=600secs.wav,6.1359e-06,1.7597e-05,1.9939e-06,3.6588e-06,2.7783e-06,2.1214e-06,easyTiger
Data\green\early,12-00-07_dur=600secs.wav,3.2241e-07,6.6947e-07,3.0961e-07,3.4729e-07,4.8445e-07,3.1057e-07,easyTiger
Data\green\early,12-00-19_dur=600secs.wav,3.1686e-07,2.9093e-07,3.0253e-07,3.2866e-07,4.6189e-07,2.9293e-07,easyTiger
Data\green\early,12-02-31_dur=600secs.wav,3.2665e-07,5.9348e-07,3.1309e-07,3.5433e-07,7.449e-07,3.1259e-07,easyTiger
Data\green\early,12-02-32_dur=600secs.wav,3.4229e-07,1.38e-06,3.3151e-07,3.9331e-07,5.8593e-07,3.6084e-07,easyTiger
Data\green\early,12-05-21_dur=600secs.wav,3.2574e-07,6.8045e-07,3.1552e-07,3.5211e-07,6.3912e-07,3.4833e-07,easyTiger
Data\green\early,12-06-40_dur=600secs.wav,3.3885e-07,1.2969e-06,3.2614e-07,3.8981e-07,5.4012e-07,3.531e-07,easyTiger
Data\green\early,12-06-55_dur=600secs.wav,3.566e-07,1.8236e-06,3.4952e-07,4.3533e-07,5.8612e-07,3.7961e-07,easyTiger
Data\green\early,12-07-01_dur=600secs.wav,5.5107e-07,1.384e-05,5.0597e-07,1.0406e-06,1.0587e-06,7.8599e-07,easyTiger
Data\green\early,12-09-43_dur=600secs.wav,3.26e-07,4.4703e-07,3.1209e-07,3.4074e-07,4.3164e-07,2.9873e-07,easyTiger
Data\green\early,12-12-13_dur=600secs.wav,3.7584e-07,2.9429e-06,3.7154e-07,4.9269e-07,7.5432e-07,4.5091e-07,easyTiger
Data\green\late,11-52-39_dur=600secs.wav,3.1979e-07,3.5429e-07,3.0491e-07,3.2822e-07,4.9726e-07,2.9966e-07,easyTiger
Data\green\late,12-06-34_dur=600secs.wav,2.1649e-07,2.8319e-07,3.1287e-07,4.1435e-07,4.9588e-07,3.3289e-07,easyTiger
Data\green\late,12-06-47_dur=600secs.wav,3.3407e-07,7.8618e-07,3.1912e-07,3.716e-07,4.5439e-07,3.2336e-07,easyTiger
Data\green\late,12-07-01_dur=600secs.wav,5.5107e-07,1.384e-05,5.0597e-07,1.0406e-06,1.0587e-06,7.8599e-07,easyTiger
Data\green\late,12-10-43_dur=600secs.wav,3.6782e-07,2.858e-06,3.5282e-07,4.8277e-07,7.0656e-07,4.2875e-07,easyTiger
Data\green\late,12-12-27_dur=600secs.wav,3.254e-07,5.9747e-07,3.1213e-07,3.4914e-07,5.2764e-07,3.1679e-07,easyTiger
Data\green\late,12-12-38_dur=600secs.wav,3.3396e-07,7.7482e-07,3.2173e-07,3.5864e-07,5.1073e-07,3.2277e-07,easyTiger
Data\green\late,12-12-51_dur=600secs.wav,3.2134e-07,3.3977e-07,3.0498e-07,3.2971e-07,4.2069e-07,2.8949e-07,easyTiger
Data\green\late,12-16-34_dur=600secs.wav,3.3428e-07,1.0008e-06,3.2102e-07,3.713e-07,4.5952e-07,3.3337e-07,easyTiger
Data\green\late,12-16-53_dur=600secs.wav,3.266e-07,4.4675e-07,3.1188e-07,3.457e-07,4.3568e-07,3.0227e-07,easyTiger
