,,,,NDSI,,,,,,,Log absolue NDSI,,,,,,,absolue NDSI ,,,
rec/condition,date,ch1,ch2,ch3,ch4,ch5,ch6,,ch1,ch2,ch3,ch4,ch5,ch6,,ch1,ch2,ch3,ch4,ch5,ch6
Data/green/deployment1,11-36-44_dur=600secs.wav,0.852181905,0.534927665,0.489852326,0.642742053,0.620384381,0.532677448,y,-0.069467692,-0.271704941,-0.309934825,-0.191963284,-0.207339145,-0.273535689,,0.852181905,0.534927665,0.489852326,0.642742053,0.620384381,0.532677448
Data/green/deployment1,12-00-37_dur=600secs.wav,0.404078442,0.063527306,0.085058008,0.138711126,0.157385991,0.105890487,y,-0.393534319,-1.197039562,-1.070284791,-0.857888704,-0.803033927,-0.975143056,,0.404078442,0.063527306,0.085058008,0.138711126,0.157385991,0.105890487
Data/green/deployment1,12-01-19_dur=600secs.wav,-0.287236896,-0.89933761,-0.220202222,-0.293444628,-0.294434624,-0.258399315,y,-0.541759776,-0.046077244,-0.657178302,-0.532473836,-0.531011121,-0.587708642,,0.287236896,0.89933761,0.220202222,0.293444628,0.294434624,0.258399315
Data/green/deployment1,12-02-02_dur=600secs.wav,-0.372287075,-0.922712387,-0.248067579,-0.31844409,-0.327019303,-0.303597981,y,-0.429122041,-0.034933649,-0.605429992,-0.496966807,-0.485426611,-0.517701121,,0.372287075,0.922712387,0.248067579,0.31844409,0.327019303,0.303597981
Data/green/deployment1,12-09-15_dur=600secs.wav,0.35441872,0.207584993,0.014958176,0.086517131,0.12914324,0.054768321,y,-0.450483347,-0.682804045,-1.825121361,-1.06289789,-0.888928323,-1.261470571,,0.35441872,0.207584993,0.014958176,0.086517131,0.12914324,0.054768321
Data/green/deployment1,12-14-02_dur=600secs.wav,0.285815782,-0.808090555,-0.033974815,0.008720109,0.038501024,0.023390944,y,-0.543913794,-0.092539969,-1.468842894,-2.059478092,-1.414527719,-1.630952256,,0.285815782,0.808090555,0.033974815,0.008720109,0.038501024,0.023390944
Data/green/deployment1,12-21-01_dur=600secs.wav,0.376353408,-0.70061572,0.008108366,0.091781724,0.112726171,0.039005006,y,-0.424404146,-0.154520122,-2.091066638,-1.037243791,-0.947975244,-1.408879653,,0.376353408,0.70061572,0.008108366,0.091781724,0.112726171,0.039005006
Data/green/deployment1,12-27-04_dur=600secs.wav,-0.571775145,-0.921262921,-0.611401826,-0.607196858,-0.597351986,-0.634447652,y,-0.242774728,-0.035616408,-0.213673268,-0.216670484,-0.223769688,-0.197604206,,0.571775145,0.921262921,0.611401826,0.607196858,0.597351986,0.634447652
Data/green/deployment1,12-32-45_dur=600secs.wav,-0.24525819,-0.78661953,-0.165624276,-0.210515016,-0.216968958,-0.190809454,y,-0.610376481,-0.104235275,-0.780876006,-0.67671692,-0.663602397,-0.719400111,,0.24525819,0.78661953,0.165624276,0.210515016,0.216968958,0.190809454
Data/green/deployment1,12-43-12_dur=600secs.wav,-0.485439648,-0.979847508,-0.283941036,-0.382131627,-0.366843248,-0.322022627,y,-0.313864756,-0.008841507,-0.546771838,-0.417787017,-0.43551947,-0.492113612,,0.485439648,0.979847508,0.283941036,0.382131627,0.366843248,0.322022627
Data/green/early,12-00-07_dur=600secs.wav,0.008253298,-0.603130301,-0.014608707,-0.045181964,-0.026339768,-0.035721099,y,-2.083372468,-0.219588852,-1.83538821,-1.34503489,-1.579388047,-1.447075189,,0.008253298,0.603130301,0.014608707,0.045181964,0.026339768,0.035721099
Data/green/early,12-00-19_dur=600secs.wav,0.032359254,-0.734665937,0.007546315,-0.014234713,-0.000645796,-0.002247988,y,-1.490001495,-0.133910096,-2.122265061,-1.846651292,-3.189904606,-2.648206088,,0.032359254,0.734665937,0.007546315,0.014234713,0.000645796,0.002247988
Data/green/early,12-02-31_dur=600secs.wav,-0.029434872,-0.827003187,-0.048357186,-0.162862689,-0.496219073,-0.168857875,y,-1.531137842,-0.082492817,-1.315538983,-0.788178398,-0.304326547,-0.772478681,,0.029434872,0.827003187,0.048357186,0.162862689,0.496219073,0.168857875
Data/green/early,12-02-32_dur=600secs.wav,-0.049900163,-0.583046099,-0.064837318,-0.097729813,0.019664111,-0.077840974,y,-1.301898038,-0.234297106,-1.188174955,-1.009972934,-1.706325682,-1.108791739,,0.049900163,0.583046099,0.064837318,0.097729813,0.019664111,0.077840974
Data/green/early,12-05-21_dur=600secs.wav,0.030434315,-0.422615507,0.008881151,-0.009762926,0.121169997,0.043738522,y,-1.516636474,-0.374054572,-2.051530737,-2.010419998,-0.916604904,-1.359135897,,0.030434315,0.422615507,0.008881151,0.009762926,0.121169997,0.043738522
Data/green/early,12-06-40_dur=600secs.wav,0.04798506,-0.16409994,0.025014808,0.033472661,0.029011561,0.040926022,y,-1.318893956,-0.784891579,-1.601802834,-1.475309762,-1.537428905,-1.388000469,,0.04798506,0.16409994,0.025014808,0.033472661,0.029011561,0.040926022
Data/green/early,12-06-55_dur=600secs.wav,-0.03624219,-0.548335561,-0.055121222,-0.095466863,-0.056508632,-0.091607944,y,-1.440785573,-0.260953588,-1.258681165,-1.020147346,-1.247885205,-1.038066862,,0.03624219,0.548335561,0.055121222,0.095466863,0.056508632,0.091607944
Data/green/early,12-07-01_dur=600secs.wav,0.080119308,0.277768727,0.043317051,0.137088412,0.08326661,0.103637778,y,-1.096262812,-0.556316651,-1.363341113,-0.862999255,-1.079529114,-0.984481908,,0.080119308,0.277768727,0.043317051,0.137088412,0.08326661,0.103637778
Data/green/early,12-09-43_dur=600secs.wav,-0.000513075,-0.671443496,-0.057425857,-0.035698001,0.002123257,-0.028854715,y,-3.289819157,-0.172990529,-1.240892513,-1.447356103,-2.672997502,-1.539783212,,0.000513075,0.671443496,0.057425857,0.035698001,0.002123257,0.028854715
Data/green/early,12-12-13_dur=600secs.wav,-0.073745206,-0.572811862,-0.080950875,-0.129927389,-0.024911957,-0.107568812,y,-1.132266207,-0.241987997,-1.091778455,-0.886299287,-1.603592159,-0.968313629,,0.073745206,0.572811862,0.080950875,0.129927389,0.024911957,0.107568812
Data/green/late,11-52-39_dur=600secs.wav,0.058585598,0.19056133,0.035408402,0.04215858,0.042135709,0.048256385,y,-1.232209134,-0.719965224,-1.450893671,-1.375114021,-1.375349695,-1.316445213,,0.058585598,0.19056133,0.035408402,0.04215858,0.042135709,0.048256385
Data/green/late,12-06-34_dur=600secs.wav,-0.156692841,-0.923114812,-0.182863256,-0.861396798,-0.159764872,-0.288212798,y,-0.804950844,-0.034744281,-0.737873551,-0.064796747,-0.796518703,-0.540286738,,0.156692841,0.923114812,0.182863256,0.861396798,0.159764872,0.288212798
Data/green/late,12-06-47_dur=600secs.wav,0.03375225,-0.262563666,0.007526881,0.007578576,-0.000204172,0.004053613,y,-1.471697267,-0.580765373,-2.123384946,-2.120412364,-3.690003501,-2.392157756,,0.03375225,0.262563666,0.007526881,0.007578576,0.000204172,0.004053613
Data/green/late,12-07-01_dur=600secs.wav,0.080119308,0.277768727,0.043317051,0.137088412,0.08326661,0.103637778,y,-1.096262812,-0.556316651,-1.363341113,-0.862999255,-1.079529114,-0.984481908,,0.080119308,0.277768727,0.043317051,0.137088412,0.08326661,0.103637778
Data/green/late,12-10-43_dur=600secs.wav,-0.089024814,-0.440642709,-0.086851889,-0.07349933,-0.032044345,-0.128350429,y,-1.050488924,-0.355913411,-1.06122073,-1.133716617,-1.4942486,-0.891602676,,0.089024814,0.440642709,0.086851889,0.07349933,0.032044345,0.128350429
Data/green/late,12-12-27_dur=600secs.wav,-0.161226694,-0.893336117,-0.153146719,-0.259979544,-0.19784458,-0.28925715,y,-0.792563051,-0.048985107,-0.814892304,-0.585060823,-0.703675843,-0.538715896,,0.161226694,0.893336117,0.153146719,0.259979544,0.19784458,0.28925715
Data/green/late,12-12-38_dur=600secs.wav,-0.481481028,-0.868277387,-0.502626045,-0.630549312,-0.548329468,-0.667580766,y,-0.317420821,-0.061341509,-0.298755011,-0.200280944,-0.260958414,-0.175496185,,0.481481028,0.868277387,0.502626045,0.630549312,0.548329468,0.667580766
Data/green/late,12-12-51_dur=600secs.wav,0.005052497,-0.637706322,-0.020221458,-0.052235394,-0.045731402,-0.060089954,y,-2.296493978,-0.195379277,-1.694187539,-1.282035129,-1.339785482,-1.221198127,,0.005052497,0.637706322,0.020221458,0.052235394,0.045731402,0.060089954
Data/green/late,12-16-34_dur=600secs.wav,-0.03901014,-0.703464245,-0.066815393,-0.127885145,-0.102434853,-0.125474635,y,-1.408822492,-0.152757972,-1.175123475,-0.893179899,-0.98955225,-0.901444057,,0.03901014,0.703464245,0.066815393,0.127885145,0.102434853,0.125474635
Data/green/late,12-16-53_dur=600secs.wav,0.02500747,-0.401828419,-0.002453977,-0.019723024,-0.017784085,-0.020347093,y,-1.601930248,-0.395959351,-2.610129551,-1.705026504,-1.749968487,-1.691497626,,0.02500747,0.401828419,0.002453977,0.019723024,0.017784085,0.020347093
Data/green/pre,11-53-33_dur=600secs.wav,0.274433803,-0.129757711,0.037938668,0.108984531,0.213471841,-0.002832954,y,-0.561562396,-0.886866824,-1.420917926,-0.962635141,-0.670659404,-2.547760505,,0.274433803,0.129757711,0.037938668,0.108984531,0.213471841,0.002832954
Data/green/pre,12-01-35_dur=600secs.wav,-0.480816763,-0.593557012,-0.630407889,-0.659969565,-0.691503056,-0.670285887,y,-0.318020399,-0.22653756,-0.200378361,-0.180476092,-0.160205896,-0.173739925,,0.480816763,0.593557012,0.630407889,0.659969565,0.691503056,0.670285887
Data/green/pre,12-01-39_dur=600secs.wav,-0.195852828,-0.647950246,-0.233841601,-0.516444022,-0.503344334,-0.601355969,y,-0.708070153,-0.188458341,-0.631078224,-0.286976746,-0.298134816,-0.220868374,,0.195852828,0.647950246,0.233841601,0.516444022,0.503344334,0.601355969
Data/green/pre,12-01-48_dur=600secs.wav,0.779891873,0.709030431,0.35953896,0.608791365,0.487510901,0.346988038,y,-0.107965605,-0.149335125,-0.444254043,-0.215531516,-0.312015669,-0.459685496,,0.779891873,0.709030431,0.35953896,0.608791365,0.487510901,0.346988038
Data/green/pre,12-03-33_dur=600secs.wav,0.362239809,0.176251923,0.017620404,0.197772795,0.129045013,-0.050149929,y,-0.441003824,-0.753866137,-1.753984147,-0.70383345,-0.889258773,-1.299729681,,0.362239809,0.176251923,0.017620404,0.197772795,0.129045013,0.050149929
Data/green/pre,12-03-42_dur=600secs.wav,0.447957225,0.341167898,-0.165190231,-0.451863274,-0.513580462,-0.267946938,y,-0.348763454,-0.46703184,-0.782015639,-0.344992955,-0.289391507,-0.571951202,,0.447957225,0.341167898,0.165190231,0.451863274,0.513580462,0.267946938
Data/green/pre,12-11-35_dur=600secs.wav,-0.19932196,-0.321730173,-0.455179985,-0.606102556,-0.626642618,-0.668022635,y,-0.700444851,-0.492508208,-0.341816843,-0.217453885,-0.202980072,-0.175208822,,0.19932196,0.321730173,0.455179985,0.606102556,0.626642618,0.668022635
Data/green/pre,12-12-37_dur=600secs.wav,0.586335971,0.45549304,0.325552032,0.500628837,0.497158722,0.303769568,y,-0.231853462,-0.341518254,-0.487379589,-0.300484138,-0.303504937,-0.517455736,,0.586335971,0.45549304,0.325552032,0.500628837,0.497158722,0.303769568
Data/green/pre,12-13-45_dur=600secs.wav,0.576357334,0.49036822,0.13028627,-0.269769702,-0.299079279,-0.02057256,y,-0.239308176,-0.309477684,-0.88510135,-0.569006828,-0.524213675,-1.686711662,,0.576357334,0.49036822,0.13028627,0.269769702,0.299079279,0.02057256
Data/green/pre,12-14-35_dur=600secs.wav,-0.460473324,-0.311964488,-0.475333412,-0.494463639,-0.452698952,-0.705592304,y,-0.336795525,-0.50589484,-0.323001658,-0.305865639,-0.344190511,-0.151446165,,0.460473324,0.311964488,0.475333412,0.494463639,0.452698952,0.705592304
