file,x,difference
1a_pinknoise_N_2,-180,0
1a_pinknoise_N_2,-90,0
1a_pinknoise_N_2,-45,0
1a_pinknoise_N_2,0,0
1a_pinknoise_N_2,90,0
1a_pinknoise_N_2,135,0
1a_pinknoise2_N_2,-180,5
1a_pinknoise2_N_2,-90,0
1a_pinknoise2_N_2,-45,0
1a_pinknoise2_N_2,0,0
1a_pinknoise2_N_2,90,0
1a_pinknoise2_N_2,135,5
1b_bird_N_2,-180,0
1b_bird_N_2,-90,5
1b_bird_N_2,-45,5
1b_bird_N_2,0,0
1b_bird_N_2,90,0
1b_bird_N_2,90,0
1b_bird_N_2,135,0
5a_pinknoise_Y_2,-180,5
5a_pinknoise_Y_2,-90,0
5a_pinknoise_Y_2,-45,0
5a_pinknoise_Y_2,0,-5
5a_pinknoise_Y_2,90,0
5a_pinknoise_Y_2,135,10
5a_pinknoise_Y_2,135,-175
5b_bird_Y_2,-180,10
5b_bird_Y_2,-180,10
5b_bird_Y_2,-45,-5
5b_bird_Y_2,0,-5
5b_bird_Y_2,90,5
5b_bird_Y_2,135,10
