iid	sid	time	duration	azimuth	species
0	0	11.7	2.3000000000000007	-149.99927221917267	1
1	1	12.9	2.9000000000000004	-149.99927221917267	1
2	2	25.5	5.100000000000001	-149.99927221917267	1
3	3	40.3	5.100000000000001	-59.999272219172624	6
4	4	55.7	4.899999999999999	-9.99735865418825	8
5	5	70.3	5.1000000000000085	30.000727780827372	10
6	6	85.1	5.1000000000000085	114.99924025740066	14
7	7	100.5	3.0999999999999943	165.00067105795696	17
8	8	101.9	2.0999999999999943	-30.000727780827372	7
9	9	102.7	2.299999999999997	-145.00047003288702	1
10	10	103.1	2.5	5.002499605710734	9
11	11	121.5	2.700000000000003	-149.99927221917267	1
12	12	121.9	3.6999999999999886	30.000727780827372	10
13	13	126.3	2.1000000000000085	30.000727780827372	10
14	14	127.9	2.0999999999999943	30.000727780827372	10
15	15	130.9	2.0999999999999943	-24.99924025740066	7
